"Y_(s,t)",State,Week,"COVID_(s,t)",State_i x t,Agriculture/Forestry/Fishing and Hunting %,Mining %,Utilities %,Construction %,Manufacturing %,Wholesale Trade %,Retail Trade %,Transporation and Warehousing %,Information %,Finance and Insurance %,"Real Estate, Rental and Leasing %",Professional/Scientific/Technical Services %,Management of Companies and Enterprises %,Administration and Support/Waste Management and Remedial Services %,Educational Services %,Healthcare and Social Assistance %,"Arts, Entertainment and Recreation %",Accomodation and Food Services %,Other Services (except Public Administration) %,Public Administration %,Information Not Available %,Agriculture/Forestry/Fishing and Hunting,Mining,Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transporation and Warehousing,Information,Finance and Insurance,"Real Estate, Rental and Leasing",Professional/Scientific/Technical Services,Management of Companies and Enterprises,Administration and Support/Waste Management and Remedial Services,Educational Services,Healthcare and Social Assistance,"Arts, Entertainment and Recreation",Accomodation and Food Services,Other Services (except Public Administration),Public Administration,Information Not Available
2335,Puerto Rico,1,0,1,1.8,0.0,0.1,5.7,11.2,1.9,8.6,2.9,0.9,1.9,1.0,2.2,0.1,15.8,20.5,6.1,0.3,5.9,1.1,3.9,6.2,315,5,9,974,1933,323,1478,493,148,332,171,380,22,2709,3531,1056,52,1010,187,676,1066
1998,Puerto Rico,2,0,2,1.8,0.0,0.1,5.7,11.2,1.9,8.6,2.9,0.9,1.9,1.0,2.2,0.1,15.8,20.5,6.1,0.3,5.9,1.1,3.9,6.2,315,5,9,974,1933,323,1478,493,148,332,171,380,22,2709,3531,1056,52,1010,187,676,1066
1770,Puerto Rico,3,0,3,1.8,0.0,0.1,6.6,12.0,2.0,10.8,2.1,1.1,2.0,1.2,2.7,0.2,16.4,11.7,7.3,0.5,6.4,1.5,4.1,7.7,271,5,8,984,1775,301,1608,304,157,299,173,403,25,2439,1735,1083,67,945,215,613,1146
1588,Puerto Rico,4,0,4,1.8,0.0,0.1,6.6,12.0,2.0,10.8,2.1,1.1,2.0,1.2,2.7,0.2,16.4,11.7,7.3,0.5,6.4,1.5,4.1,7.7,271,5,8,984,1775,301,1608,304,157,299,173,403,25,2439,1735,1083,67,945,215,613,1146
1390,Puerto Rico,5,0,5,1.8,0.0,0.1,6.6,12.0,2.0,10.8,2.1,1.1,2.0,1.2,2.7,0.2,16.4,11.7,7.3,0.5,6.4,1.5,4.1,7.7,271,5,8,984,1775,301,1608,304,157,299,173,403,25,2439,1735,1083,67,945,215,613,1146
1296,Puerto Rico,6,0,6,1.8,0.0,0.1,6.6,12.0,2.0,10.8,2.1,1.1,2.0,1.2,2.7,0.2,16.4,11.7,7.3,0.5,6.4,1.5,4.1,7.7,271,5,8,984,1775,301,1608,304,157,299,173,403,25,2439,1735,1083,67,945,215,613,1146
1343,Puerto Rico,7,0,7,1.5,0.0,0.1,6.7,12.6,1.8,9.1,2.4,0.9,1.8,1.1,2.5,0.1,15.2,17.7,6.4,0.4,5.3,1.1,3.2,8.6,216,6,8,957,1798,264,1307,336,123,252,157,361,20,2169,2530,914,51,758,164,454,1233
1172,Puerto Rico,8,0,8,1.5,0.0,0.1,6.7,12.6,1.8,9.1,2.4,0.9,1.8,1.1,2.5,0.1,15.2,17.7,6.4,0.4,5.3,1.1,3.2,8.6,216,6,8,957,1798,264,1307,336,123,252,157,361,20,2169,2530,914,51,758,164,454,1233
20148,Puerto Rico,9,21,9,1.5,0.0,0.1,6.7,12.6,1.8,9.1,2.4,0.9,1.8,1.1,2.5,0.1,15.2,17.7,6.4,0.4,5.3,1.1,3.2,8.6,216,6,8,957,1798,264,1307,336,123,252,157,361,20,2169,2530,914,51,758,164,454,1233
45394,Puerto Rico,10,79,10,1.5,0.0,0.1,6.7,12.6,1.8,9.1,2.4,0.9,1.8,1.1,2.5,0.1,15.2,17.7,6.4,0.4,5.3,1.1,3.2,8.6,216,6,8,957,1798,264,1307,336,123,252,157,361,20,2169,2530,914,51,758,164,454,1233
66555,Puerto Rico,11,352,11,0.7,0.1,0.0,8.1,9.0,2.9,18.5,2.1,1.1,0.9,2.1,3.6,0.4,7.9,4.8,7.2,1.2,16.3,3.2,1.0,8.0,762,122,28,8430,9331,2982,19108,2187,1181,930,2214,3722,409,8152,4988,7461,1221,16896,3325,999,8241
42074,Puerto Rico,12,336,12,0.7,0.1,0.0,8.1,9.0,2.9,18.5,2.1,1.1,0.9,2.1,3.6,0.4,7.9,4.8,7.2,1.2,16.3,3.2,1.0,8.0,762,122,28,8430,9331,2982,19108,2187,1181,930,2214,3722,409,8152,4988,7461,1221,16896,3325,999,8241
26481,Puerto Rico,13,330,13,0.7,0.1,0.0,8.1,9.0,2.9,18.5,2.1,1.1,0.9,2.1,3.6,0.4,7.9,4.8,7.2,1.2,16.3,3.2,1.0,8.0,762,122,28,8430,9331,2982,19108,2187,1181,930,2214,3722,409,8152,4988,7461,1221,16896,3325,999,8241
17286,Puerto Rico,14,189,14,0.7,0.1,0.0,8.1,9.0,2.9,18.5,2.1,1.1,0.9,2.1,3.6,0.4,7.9,4.8,7.2,1.2,16.3,3.2,1.0,8.0,762,122,28,8430,9331,2982,19108,2187,1181,930,2214,3722,409,8152,4988,7461,1221,16896,3325,999,8241
21886,Puerto Rico,15,450,15,0.7,0.1,0.0,8.1,9.0,2.9,18.5,2.1,1.1,0.9,2.1,3.6,0.4,7.9,4.8,7.2,1.2,16.3,3.2,1.0,8.0,762,122,28,8430,9331,2982,19108,2187,1181,930,2214,3722,409,8152,4988,7461,1221,16896,3325,999,8241
15067,Puerto Rico,16,416,16,0.5,0.0,0.0,3.8,3.7,1.4,9.6,1.2,0.9,0.6,1.3,2.0,0.2,4.7,2.9,4.2,0.8,10.1,1.8,0.7,48.9,1069,101,24,8500,8395,3230,21615,2759,2019,1393,2836,4429,443,10487,6579,9502,1867,22679,4119,1615,109939
10923,Puerto Rico,17,416,17,0.5,0.0,0.0,3.8,3.7,1.4,9.6,1.2,0.9,0.6,1.3,2.0,0.2,4.7,2.9,4.2,0.8,10.1,1.8,0.7,48.9,1069,101,24,8500,8395,3230,21615,2759,2019,1393,2836,4429,443,10487,6579,9502,1867,22679,4119,1615,109939
13521,Puerto Rico,18,511,18,0.5,0.0,0.0,3.8,3.7,1.4,9.6,1.2,0.9,0.6,1.3,2.0,0.2,4.7,2.9,4.2,0.8,10.1,1.8,0.7,48.9,1069,101,24,8500,8395,3230,21615,2759,2019,1393,2836,4429,443,10487,6579,9502,1867,22679,4119,1615,109939
7236,Puerto Rico,19,618,19,0.5,0.0,0.0,3.8,3.7,1.4,9.6,1.2,0.9,0.6,1.3,2.0,0.2,4.7,2.9,4.2,0.8,10.1,1.8,0.7,48.9,1069,101,24,8500,8395,3230,21615,2759,2019,1393,2836,4429,443,10487,6579,9502,1867,22679,4119,1615,109939
8820,Puerto Rico,20,1197,20,0.3,0.0,0.0,2.3,2.1,0.9,4.7,0.9,0.7,0.5,0.7,1.3,0.1,3.1,2.2,2.6,0.5,6.2,1.2,0.5,68.9,1114,64,18,7255,6765,2774,15097,2788,2099,1457,2398,4273,269,9960,6937,8330,1716,20076,3741,1693,221389
8097,Puerto Rico,21,775,21,0.3,0.0,0.0,2.3,2.1,0.9,4.7,0.9,0.7,0.5,0.7,1.3,0.1,3.1,2.2,2.6,0.5,6.2,1.2,0.5,68.9,1114,64,18,7255,6765,2774,15097,2788,2099,1457,2398,4273,269,9960,6937,8330,1716,20076,3741,1693,221389
9160,Puerto Rico,22,773,22,0.3,0.0,0.0,2.3,2.1,0.9,4.7,0.9,0.7,0.5,0.7,1.3,0.1,3.1,2.2,2.6,0.5,6.2,1.2,0.5,68.9,1114,64,18,7255,6765,2774,15097,2788,2099,1457,2398,4273,269,9960,6937,8330,1716,20076,3741,1693,221389
10228,Puerto Rico,23,603,23,0.3,0.0,0.0,2.3,2.1,0.9,4.7,0.9,0.7,0.5,0.7,1.3,0.1,3.1,2.2,2.6,0.5,6.2,1.2,0.5,68.9,1114,64,18,7255,6765,2774,15097,2788,2099,1457,2398,4273,269,9960,6937,8330,1716,20076,3741,1693,221389
1048,Rhode Island,1,0,1,1.6,0.3,0.1,19.2,6.8,2.4,6.7,2.6,0.6,2.4,1.6,3.2,0.9,20.3,1.3,6.3,5.2,11.4,2.5,0.8,2.1,171,37,16,2102,741,266,734,289,61,259,177,349,103,2222,138,687,571,1246,271,84,226
971,Rhode Island,2,0,2,1.6,0.3,0.1,19.2,6.8,2.4,6.7,2.6,0.6,2.4,1.6,3.2,0.9,20.3,1.3,6.3,5.2,11.4,2.5,0.8,2.1,171,37,16,2102,741,266,734,289,61,259,177,349,103,2222,138,687,571,1246,271,84,226
959,Rhode Island,3,0,3,1.6,0.3,0.1,21.3,6.4,2.4,6.6,2.5,0.7,2.0,1.6,3.2,0.8,21.9,1.0,6.0,5.1,9.7,2.5,0.6,2.0,180,29,16,2426,733,273,756,288,78,233,177,361,86,2494,117,683,586,1101,281,73,228
996,Rhode Island,4,0,4,1.6,0.3,0.1,21.3,6.4,2.4,6.6,2.5,0.7,2.0,1.6,3.2,0.8,21.9,1.0,6.0,5.1,9.7,2.5,0.6,2.0,180,29,16,2426,733,273,756,288,78,233,177,361,86,2494,117,683,586,1101,281,73,228
1921,Rhode Island,5,0,5,1.6,0.3,0.1,21.3,6.4,2.4,6.6,2.5,0.7,2.0,1.6,3.2,0.8,21.9,1.0,6.0,5.1,9.7,2.5,0.6,2.0,180,29,16,2426,733,273,756,288,78,233,177,361,86,2494,117,683,586,1101,281,73,228
874,Rhode Island,6,0,6,1.6,0.3,0.1,21.3,6.4,2.4,6.6,2.5,0.7,2.0,1.6,3.2,0.8,21.9,1.0,6.0,5.1,9.7,2.5,0.6,2.0,180,29,16,2426,733,273,756,288,78,233,177,361,86,2494,117,683,586,1101,281,73,228
700,Rhode Island,7,3,7,1.3,0.2,0.1,17.9,6.9,2.2,6.5,2.6,0.8,1.9,1.6,3.1,0.8,18.5,1.3,6.7,5.7,15.4,2.9,0.7,1.6,147,18,14,1968,757,246,715,284,91,204,179,344,87,2032,144,734,629,1690,317,78,178
1108,Rhode Island,8,17,8,1.3,0.2,0.1,17.9,6.9,2.2,6.5,2.6,0.8,1.9,1.6,3.1,0.8,18.5,1.3,6.7,5.7,15.4,2.9,0.7,1.6,147,18,14,1968,757,246,715,284,91,204,179,344,87,2032,144,734,629,1690,317,78,178
35847,Rhode Island,9,46,9,1.3,0.2,0.1,17.9,6.9,2.2,6.5,2.6,0.8,1.9,1.6,3.1,0.8,18.5,1.3,6.7,5.7,15.4,2.9,0.7,1.6,147,18,14,1968,757,246,715,284,91,204,179,344,87,2032,144,734,629,1690,317,78,178
27800,Rhode Island,10,173,10,1.3,0.2,0.1,17.9,6.9,2.2,6.5,2.6,0.8,1.9,1.6,3.1,0.8,18.5,1.3,6.7,5.7,15.4,2.9,0.7,1.6,147,18,14,1968,757,246,715,284,91,204,179,344,87,2032,144,734,629,1690,317,78,178
28243,Rhode Island,11,567,11,0.2,0.0,0.0,5.9,7.4,2.9,11.6,4.2,0.6,1.3,1.5,3.4,0.5,6.8,2.8,16.3,4.1,22.6,5.9,0.7,1.0,240,28,23,5738,7179,2848,11283,4042,596,1303,1407,3253,493,6573,2677,15796,3951,21923,5716,646,948
22509,Rhode Island,12,1543,12,0.2,0.0,0.0,5.9,7.4,2.9,11.6,4.2,0.6,1.3,1.5,3.4,0.5,6.8,2.8,16.3,4.1,22.6,5.9,0.7,1.0,240,28,23,5738,7179,2848,11283,4042,596,1303,1407,3253,493,6573,2677,15796,3951,21923,5716,646,948
18078,Rhode Island,13,2142,13,0.2,0.0,0.0,5.9,7.4,2.9,11.6,4.2,0.6,1.3,1.5,3.4,0.5,6.8,2.8,16.3,4.1,22.6,5.9,0.7,1.0,240,28,23,5738,7179,2848,11283,4042,596,1303,1407,3253,493,6573,2677,15796,3951,21923,5716,646,948
13084,Rhode Island,14,2638,14,0.2,0.0,0.0,5.9,7.4,2.9,11.6,4.2,0.6,1.3,1.5,3.4,0.5,6.8,2.8,16.3,4.1,22.6,5.9,0.7,1.0,240,28,23,5738,7179,2848,11283,4042,596,1303,1407,3253,493,6573,2677,15796,3951,21923,5716,646,948
9088,Rhode Island,15,2160,15,0.2,0.0,0.0,5.9,7.4,2.9,11.6,4.2,0.6,1.3,1.5,3.4,0.5,6.8,2.8,16.3,4.1,22.6,5.9,0.7,1.0,240,28,23,5738,7179,2848,11283,4042,596,1303,1407,3253,493,6573,2677,15796,3951,21923,5716,646,948
6245,Rhode Island,16,1700,16,0.2,0.0,0.0,4.7,6.3,2.9,12.3,4.8,0.6,1.4,1.6,3.4,0.6,6.9,2.8,15.1,2.7,25.4,6.1,0.7,1.3,182,24,13,4153,5543,2546,10882,4187,570,1255,1370,2974,520,6070,2464,13301,2393,22366,5372,610,1169
3883,Rhode Island,17,1445,17,0.2,0.0,0.0,4.7,6.3,2.9,12.3,4.8,0.6,1.4,1.6,3.4,0.6,6.9,2.8,15.1,2.7,25.4,6.1,0.7,1.3,182,24,13,4153,5543,2546,10882,4187,570,1255,1370,2974,520,6070,2464,13301,2393,22366,5372,610,1169
2937,Rhode Island,18,1518,18,0.2,0.0,0.0,4.7,6.3,2.9,12.3,4.8,0.6,1.4,1.6,3.4,0.6,6.9,2.8,15.1,2.7,25.4,6.1,0.7,1.3,182,24,13,4153,5543,2546,10882,4187,570,1255,1370,2974,520,6070,2464,13301,2393,22366,5372,610,1169
2748,Rhode Island,19,867,19,0.2,0.0,0.0,4.7,6.3,2.9,12.3,4.8,0.6,1.4,1.6,3.4,0.6,6.9,2.8,15.1,2.7,25.4,6.1,0.7,1.3,182,24,13,4153,5543,2546,10882,4187,570,1255,1370,2974,520,6070,2464,13301,2393,22366,5372,610,1169
3518,Rhode Island,20,622,20,0.1,0.0,0.0,4.4,6.1,2.9,11.6,5.4,0.8,1.5,1.7,3.7,0.6,7.6,3.5,13.6,2.7,26.0,5.4,0.7,1.5,104,18,9,3027,4236,2026,8016,3730,531,1073,1161,2581,387,5284,2457,9398,1847,18019,3748,520,1058
2641,Rhode Island,21,506,21,0.1,0.0,0.0,4.4,6.1,2.9,11.6,5.4,0.8,1.5,1.7,3.7,0.6,7.6,3.5,13.6,2.7,26.0,5.4,0.7,1.5,104,18,9,3027,4236,2026,8016,3730,531,1073,1161,2581,387,5284,2457,9398,1847,18019,3748,520,1058
4014,Rhode Island,22,390,22,0.1,0.0,0.0,4.4,6.1,2.9,11.6,5.4,0.8,1.5,1.7,3.7,0.6,7.6,3.5,13.6,2.7,26.0,5.4,0.7,1.5,104,18,9,3027,4236,2026,8016,3730,531,1073,1161,2581,387,5284,2457,9398,1847,18019,3748,520,1058
3229,Rhode Island,23,324,23,0.1,0.0,0.0,4.4,6.1,2.9,11.6,5.4,0.8,1.5,1.7,3.7,0.6,7.6,3.5,13.6,2.7,26.0,5.4,0.7,1.5,104,18,9,3027,4236,2026,8016,3730,531,1073,1161,2581,387,5284,2457,9398,1847,18019,3748,520,1058
2248,South Carolina,1,0,1,0.5,0.1,0.2,6.6,14.7,3.8,7.3,3.2,1.4,2.0,1.9,4.9,0.4,12.7,1.2,5.4,1.8,12.6,2.1,1.0,15.6,92,15,41,1174,2628,673,1314,564,244,354,347,869,76,2279,221,968,330,2258,384,187,2791
2099,South Carolina,2,0,2,0.5,0.1,0.2,6.6,14.7,3.8,7.3,3.2,1.4,2.0,1.9,4.9,0.4,12.7,1.2,5.4,1.8,12.6,2.1,1.0,15.6,92,15,41,1174,2628,673,1314,564,244,354,347,869,76,2279,221,968,330,2258,384,187,2791
2054,South Carolina,3,0,3,0.5,0.1,0.2,6.8,14.2,4.0,7.3,3.4,1.2,2.2,2.0,5.1,0.5,13.9,1.2,6.1,1.4,10.5,2.2,1.0,15.6,90,17,41,1163,2418,681,1239,570,208,367,340,871,78,2362,198,1028,243,1788,382,167,2643
2088,South Carolina,4,0,4,0.5,0.1,0.2,6.8,14.2,4.0,7.3,3.4,1.2,2.2,2.0,5.1,0.5,13.9,1.2,6.1,1.4,10.5,2.2,1.0,15.6,90,17,41,1163,2418,681,1239,570,208,367,340,871,78,2362,198,1028,243,1788,382,167,2643
1824,South Carolina,5,0,5,0.5,0.1,0.2,6.8,14.2,4.0,7.3,3.4,1.2,2.2,2.0,5.1,0.5,13.9,1.2,6.1,1.4,10.5,2.2,1.0,15.6,90,17,41,1163,2418,681,1239,570,208,367,340,871,78,2362,198,1028,243,1788,382,167,2643
1977,South Carolina,6,0,6,0.5,0.1,0.2,6.8,14.2,4.0,7.3,3.4,1.2,2.2,2.0,5.1,0.5,13.9,1.2,6.1,1.4,10.5,2.2,1.0,15.6,90,17,41,1163,2418,681,1239,570,208,367,340,871,78,2362,198,1028,243,1788,382,167,2643
1889,South Carolina,7,2,7,0.5,0.1,0.2,6.5,15.1,4.1,7.6,3.2,1.1,2.4,2.0,5.2,0.5,13.3,1.2,6.3,1.2,10.0,2.2,1.1,15.6,75,9,35,1030,2405,653,1220,513,177,383,318,834,84,2128,192,1012,191,1599,358,172,2487
2093,South Carolina,8,17,8,0.5,0.1,0.2,6.5,15.1,4.1,7.6,3.2,1.1,2.4,2.0,5.2,0.5,13.3,1.2,6.3,1.2,10.0,2.2,1.1,15.6,75,9,35,1030,2405,653,1220,513,177,383,318,834,84,2128,192,1012,191,1599,358,172,2487
31826,South Carolina,9,155,9,0.5,0.1,0.2,6.5,15.1,4.1,7.6,3.2,1.1,2.4,2.0,5.2,0.5,13.3,1.2,6.3,1.2,10.0,2.2,1.1,15.6,75,9,35,1030,2405,653,1220,513,177,383,318,834,84,2128,192,1012,191,1599,358,172,2487
66475,South Carolina,10,486,10,0.5,0.1,0.2,6.5,15.1,4.1,7.6,3.2,1.1,2.4,2.0,5.2,0.5,13.3,1.2,6.3,1.2,10.0,2.2,1.1,15.6,75,9,35,1030,2405,653,1220,513,177,383,318,834,84,2128,192,1012,191,1599,358,172,2487
86573,South Carolina,11,1257,11,0.1,0.0,0.0,1.9,18.4,2.6,9.3,2.3,0.5,0.5,1.4,2.7,0.3,7.8,1.6,10.2,2.5,22.2,3.5,0.6,11.6,302,32,83,4666,45277,6299,22870,5669,1203,1137,3448,6691,793,19244,3889,25069,6107,54637,8557,1453,28525
89147,South Carolina,12,1294,12,0.1,0.0,0.0,1.9,18.4,2.6,9.3,2.3,0.5,0.5,1.4,2.7,0.3,7.8,1.6,10.2,2.5,22.2,3.5,0.6,11.6,302,32,83,4666,45277,6299,22870,5669,1203,1137,3448,6691,793,19244,3889,25069,6107,54637,8557,1453,28525
74362,South Carolina,13,1037,13,0.1,0.0,0.0,1.9,18.4,2.6,9.3,2.3,0.5,0.5,1.4,2.7,0.3,7.8,1.6,10.2,2.5,22.2,3.5,0.6,11.6,302,32,83,4666,45277,6299,22870,5669,1203,1137,3448,6691,793,19244,3889,25069,6107,54637,8557,1453,28525
66438,South Carolina,14,1005,14,0.1,0.0,0.0,1.9,18.4,2.6,9.3,2.3,0.5,0.5,1.4,2.7,0.3,7.8,1.6,10.2,2.5,22.2,3.5,0.6,11.6,302,32,83,4666,45277,6299,22870,5669,1203,1137,3448,6691,793,19244,3889,25069,6107,54637,8557,1453,28525
47673,South Carolina,15,1236,15,0.1,0.0,0.0,1.9,18.4,2.6,9.3,2.3,0.5,0.5,1.4,2.7,0.3,7.8,1.6,10.2,2.5,22.2,3.5,0.6,11.6,302,32,83,4666,45277,6299,22870,5669,1203,1137,3448,6691,793,19244,3889,25069,6107,54637,8557,1453,28525
33191,South Carolina,16,1042,16,0.2,0.0,0.0,2.4,15.1,2.9,9.7,2.7,0.6,0.6,1.5,3.1,0.4,9.8,2.4,8.7,2.4,20.2,3.8,0.7,12.6,383,100,112,5863,36881,7039,23541,6511,1491,1401,3701,7612,991,23873,5860,21337,5976,49370,9201,1659,30647
29899,South Carolina,17,1130,17,0.2,0.0,0.0,2.4,15.1,2.9,9.7,2.7,0.6,0.6,1.5,3.1,0.4,9.8,2.4,8.7,2.4,20.2,3.8,0.7,12.6,383,100,112,5863,36881,7039,23541,6511,1491,1401,3701,7612,991,23873,5860,21337,5976,49370,9201,1659,30647
25380,South Carolina,18,1234,18,0.2,0.0,0.0,2.4,15.1,2.9,9.7,2.7,0.6,0.6,1.5,3.1,0.4,9.8,2.4,8.7,2.4,20.2,3.8,0.7,12.6,383,100,112,5863,36881,7039,23541,6511,1491,1401,3701,7612,991,23873,5860,21337,5976,49370,9201,1659,30647
18910,South Carolina,19,1499,19,0.2,0.0,0.0,2.4,15.1,2.9,9.7,2.7,0.6,0.6,1.5,3.1,0.4,9.8,2.4,8.7,2.4,20.2,3.8,0.7,12.6,383,100,112,5863,36881,7039,23541,6511,1491,1401,3701,7612,991,23873,5860,21337,5976,49370,9201,1659,30647
23188,South Carolina,20,2144,20,0.2,0.0,0.0,2.8,12.1,3.0,8.9,2.8,0.8,0.7,1.5,3.6,0.5,11.5,3.1,8.1,2.1,20.1,3.2,0.8,14.1,431,83,94,5587,24514,6134,17919,5730,1546,1511,2957,7335,1001,23202,6184,16383,4220,40592,6474,1573,28451
19853,South Carolina,21,4417,21,0.2,0.0,0.0,2.8,12.1,3.0,8.9,2.8,0.8,0.7,1.5,3.6,0.5,11.5,3.1,8.1,2.1,20.1,3.2,0.8,14.1,431,83,94,5587,24514,6134,17919,5730,1546,1511,2957,7335,1001,23202,6184,16383,4220,40592,6474,1573,28451
17611,South Carolina,22,5801,22,0.2,0.0,0.0,2.8,12.1,3.0,8.9,2.8,0.8,0.7,1.5,3.6,0.5,11.5,3.1,8.1,2.1,20.1,3.2,0.8,14.1,431,83,94,5587,24514,6134,17919,5730,1546,1511,2957,7335,1001,23202,6184,16383,4220,40592,6474,1573,28451
17654,South Carolina,23,8183,23,0.2,0.0,0.0,2.8,12.1,3.0,8.9,2.8,0.8,0.7,1.5,3.6,0.5,11.5,3.1,8.1,2.1,20.1,3.2,0.8,14.1,431,83,94,5587,24514,6134,17919,5730,1546,1511,2957,7335,1001,23202,6184,16383,4220,40592,6474,1573,28451
291,South Dakota,1,0,1,0.7,3.7,0.3,42.9,9.4,2.9,5.2,3.0,0.5,2.2,0.5,1.8,0.1,6.0,1.2,3.1,1.6,4.8,1.4,4.1,3.9,21,117,8,1347,294,91,163,94,17,68,15,57,4,188,38,96,50,152,45,129,122
217,South Dakota,2,0,2,0.7,3.7,0.3,42.9,9.4,2.9,5.2,3.0,0.5,2.2,0.5,1.8,0.1,6.0,1.2,3.1,1.6,4.8,1.4,4.1,3.9,21,117,8,1347,294,91,163,94,17,68,15,57,4,188,38,96,50,152,45,129,122
223,South Dakota,3,0,3,0.7,3.6,0.2,42.7,9.4,2.6,5.6,3.7,0.6,1.7,0.7,1.6,0.1,6.1,1.1,3.3,1.6,4.9,1.4,4.0,3.9,22,117,7,1386,305,83,181,119,21,56,22,51,3,198,37,106,51,158,45,131,125
194,South Dakota,4,0,4,0.7,3.6,0.2,42.7,9.4,2.6,5.6,3.7,0.6,1.7,0.7,1.6,0.1,6.1,1.1,3.3,1.6,4.9,1.4,4.0,3.9,22,117,7,1386,305,83,181,119,21,56,22,51,3,198,37,106,51,158,45,131,125
191,South Dakota,5,0,5,0.7,3.6,0.2,42.7,9.4,2.6,5.6,3.7,0.6,1.7,0.7,1.6,0.1,6.1,1.1,3.3,1.6,4.9,1.4,4.0,3.9,22,117,7,1386,305,83,181,119,21,56,22,51,3,198,37,106,51,158,45,131,125
159,South Dakota,6,0,6,0.7,3.6,0.2,42.7,9.4,2.6,5.6,3.7,0.6,1.7,0.7,1.6,0.1,6.1,1.1,3.3,1.6,4.9,1.4,4.0,3.9,22,117,7,1386,305,83,181,119,21,56,22,51,3,198,37,106,51,158,45,131,125
185,South Dakota,7,0,7,0.8,3.3,0.3,42.0,9.9,2.3,5.5,3.3,0.4,2.2,0.6,1.9,0.1,5.5,0.9,3.7,1.6,5.1,0.9,3.8,4.9,22,89,7,1151,272,64,151,89,12,61,17,52,4,150,26,101,43,141,26,105,133
190,South Dakota,8,8,8,0.8,3.3,0.3,42.0,9.9,2.3,5.5,3.3,0.4,2.2,0.6,1.9,0.1,5.5,0.9,3.7,1.6,5.1,0.9,3.8,4.9,22,89,7,1151,272,64,151,89,12,61,17,52,4,150,26,101,43,141,26,105,133
1761,South Dakota,9,6,9,0.8,3.3,0.3,42.0,9.9,2.3,5.5,3.3,0.4,2.2,0.6,1.9,0.1,5.5,0.9,3.7,1.6,5.1,0.9,3.8,4.9,22,89,7,1151,272,64,151,89,12,61,17,52,4,150,26,101,43,141,26,105,133
6801,South Dakota,10,54,10,0.8,3.3,0.3,42.0,9.9,2.3,5.5,3.3,0.4,2.2,0.6,1.9,0.1,5.5,0.9,3.7,1.6,5.1,0.9,3.8,4.9,22,89,7,1151,272,64,151,89,12,61,17,52,4,150,26,101,43,141,26,105,133
8138,South Dakota,11,144,11,0.2,0.4,0.0,5.5,7.7,2.0,14.0,1.8,0.8,1.5,1.0,1.7,0.2,3.1,2.9,14.3,5.1,30.1,4.0,2.0,1.3,56,101,9,1240,1733,459,3161,416,187,341,219,373,35,700,651,3219,1149,6789,905,440,284
6359,South Dakota,12,414,12,0.2,0.4,0.0,5.5,7.7,2.0,14.0,1.8,0.8,1.5,1.0,1.7,0.2,3.1,2.9,14.3,5.1,30.1,4.0,2.0,1.3,56,101,9,1240,1733,459,3161,416,187,341,219,373,35,700,651,3219,1149,6789,905,440,284
5295,South Dakota,13,916,13,0.2,0.4,0.0,5.5,7.7,2.0,14.0,1.8,0.8,1.5,1.0,1.7,0.2,3.1,2.9,14.3,5.1,30.1,4.0,2.0,1.3,56,101,9,1240,1733,459,3161,416,187,341,219,373,35,700,651,3219,1149,6789,905,440,284
5535,South Dakota,14,605,14,0.2,0.4,0.0,5.5,7.7,2.0,14.0,1.8,0.8,1.5,1.0,1.7,0.2,3.1,2.9,14.3,5.1,30.1,4.0,2.0,1.3,56,101,9,1240,1733,459,3161,416,187,341,219,373,35,700,651,3219,1149,6789,905,440,284
3929,South Dakota,15,441,15,0.2,0.4,0.0,5.5,7.7,2.0,14.0,1.8,0.8,1.5,1.0,1.7,0.2,3.1,2.9,14.3,5.1,30.1,4.0,2.0,1.3,56,101,9,1240,1733,459,3161,416,187,341,219,373,35,700,651,3219,1149,6789,905,440,284
5269,South Dakota,16,805,16,0.3,0.3,0.0,4.0,8.9,2.4,14.7,2.1,1.1,2.0,1.3,2.0,0.5,3.9,3.8,13.2,4.2,27.1,3.5,2.7,1.5,68,67,7,857,1889,514,3112,453,241,414,273,427,105,833,812,2795,892,5733,740,565,313
3891,South Dakota,17,566,17,0.3,0.3,0.0,4.0,8.9,2.4,14.7,2.1,1.1,2.0,1.3,2.0,0.5,3.9,3.8,13.2,4.2,27.1,3.5,2.7,1.5,68,67,7,857,1889,514,3112,453,241,414,273,427,105,833,812,2795,892,5733,740,565,313
3471,South Dakota,18,505,18,0.3,0.3,0.0,4.0,8.9,2.4,14.7,2.1,1.1,2.0,1.3,2.0,0.5,3.9,3.8,13.2,4.2,27.1,3.5,2.7,1.5,68,67,7,857,1889,514,3112,453,241,414,273,427,105,833,812,2795,892,5733,740,565,313
1498,South Dakota,19,496,19,0.3,0.3,0.0,4.0,8.9,2.4,14.7,2.1,1.1,2.0,1.3,2.0,0.5,3.9,3.8,13.2,4.2,27.1,3.5,2.7,1.5,68,67,7,857,1889,514,3112,453,241,414,273,427,105,833,812,2795,892,5733,740,565,313
880,South Dakota,20,407,20,0.3,0.4,0.0,3.5,11.1,2.8,11.4,2.5,1.4,1.7,1.6,2.6,0.7,4.8,4.7,11.4,4.0,26.7,3.1,3.1,2.0,47,62,2,602,1931,487,1972,442,238,293,270,457,121,827,813,1983,703,4634,546,532,350
